example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
89,1,233,342,342,109,109,285,0.7142857142857143,0.8333333333333334,52,0.3132530120481928,0.47706422018348627
90,0,52,160,160,108,108,109,0.5165876777251185,0.68125,57,0.3584905660377358,0.5277777777777778
90,1,187,278,278,91,91,235,0.7320872274143302,0.8453237410071942,48,0.3582089552238806,0.5274725274725275
90,2,225,357,357,132,132,287,0.6721311475409836,0.803921568627451,62,0.3069306930693069,0.4696969696969697
91,0,92,171,171,79,79,132,0.6285714285714286,0.7719298245614035,40,0.3389830508474576,0.5063291139240507
91,1,233,341,341,108,108,291,0.7442455242966752,0.8533724340175953,58,0.3670886075949367,0.5370370370370371
93,0,98,196,196,98,98,149,0.6131687242798354,0.7602040816326531,51,0.35172413793103446,0.5204081632653061
93,1,196,299,299,103,103,241,0.6750700280112045,0.8060200668896321,45,0.2795031055900621,0.4368932038834951
95,0,107,186,186,79,79,151,0.6832579185520362,0.8118279569892473,44,0.38596491228070173,0.5569620253164557
96,0,100,182,182,82,82,149,0.6930232558139535,0.8186813186813187,49,0.4260869565217391,0.5975609756097561
96,1,176,265,265,89,89,222,0.7207792207792207,0.8377358490566038,46,0.3484848484848485,0.5168539325842697
97,0,71,160,160,89,89,123,0.6243654822335025,0.76875,52,0.4126984126984127,0.5842696629213483
97,1,190,280,280,90,90,240,0.75,0.8571428571428571,50,0.38461538461538464,0.5555555555555556
98,0,86,176,176,90,90,131,0.5927601809954751,0.7443181818181818,45,0.3333333333333333,0.5
98,1,159,251,251,92,92,205,0.6902356902356902,0.8167330677290837,46,0.3333333333333333,0.5
100,0,98,194,194,96,96,149,0.6234309623430963,0.7680412371134021,51,0.3617021276595745,0.53125
100,1,195,289,289,94,94,239,0.7050147492625368,0.8269896193771626,44,0.3055555555555556,0.46808510638297873
101,0,48,119,119,71,71,83,0.535483870967742,0.6974789915966386,35,0.32710280373831774,0.49295774647887325
101,1,173,290,290,117,117,238,0.695906432748538,0.8206896551724138,65,0.38461538461538464,0.5555555555555556
102,0,88,178,178,90,90,127,0.5545851528384279,0.7134831460674157,39,0.2765957446808511,0.43333333333333335
102,1,222,330,330,108,108,270,0.6923076923076923,0.8181818181818182,48,0.2857142857142857,0.4444444444444444
103,0,46,152,152,106,106,103,0.5124378109452736,0.6776315789473685,57,0.36774193548387096,0.5377358490566038
103,1,212,297,297,85,85,258,0.7678571428571429,0.8686868686868687,46,0.3709677419354839,0.5411764705882353
104,0,218,367,367,149,149,286,0.6383928571428571,0.779291553133515,68,0.2956521739130435,0.4563758389261745
105,0,176,331,331,155,155,249,0.6029055690072639,0.7522658610271903,73,0.3080168776371308,0.47096774193548385
105,1,326,518,518,192,192,415,0.6682769726247987,0.8011583011583011,89,0.3016949152542373,0.4635416666666667
109,0,191,321,321,130,130,249,0.6335877862595419,0.7757009345794392,58,0.2871287128712871,0.4461538461538462
112,0,66,137,137,71,71,110,0.6707317073170732,0.8029197080291971,44,0.4489795918367347,0.6197183098591549
112,1,170,255,255,85,85,206,0.6776315789473685,0.807843137254902,36,0.26865671641791045,0.4235294117647059
113,0,98,197,197,99,99,145,0.5823293172690763,0.7360406091370558,47,0.31125827814569534,0.47474747474747475
113,1,212,304,304,92,92,258,0.7371428571428571,0.8486842105263158,46,0.3333333333333333,0.5
