part,example,target,source,kind,context_index,prefix_tokens,layer,rank,original_gap,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t3,0,3,preprocess,k,46,297,27,0,0.16055598703706944,6738.263671875,261393.625,4457.658203125,3501.54052734375,2891.072998046875,0.8133535790833237,0.13058878669985619,0.3384559553923474,0.5951897977489979
t3,0,3,preprocess,k,46,297,27,1,0.16055598703706944,6738.263671875,261393.625,2972.91455078125,4100.7509765625,3933.05029296875,0.6642280516335127,0.10664579044772816,0.5588010954231475,0.7482105038648571
t3,0,3,preprocess,k,46,297,27,2,0.16055598703706944,6738.263671875,261393.625,2961.8310546875,4138.923828125,3957.6787109375,0.6629887217845046,0.10644680862055617,0.5604459547865488,0.7494157519477148
t3,0,3,preprocess,k,46,297,27,4,0.16055598703706944,6738.263671875,261393.625,2740.4482421875,4628.76416015625,4313.2900390625,0.6377299324574879,0.1023913587687956,0.5933005332477679,0.7723286313121
t3,0,3,preprocess,k,46,297,27,8,0.16055598703706944,6738.263671875,261393.625,2656.12841796875,4658.9970703125,4370.56640625,0.627842244025889,0.10080383119314522,0.6058141166165361,0.7800411322567997
t3,0,3,preprocess,k,46,297,27,16,0.16055598703706944,6738.263671875,261393.625,2407.646728515625,4887.04150390625,4608.8291015625,0.5977538490015978,0.0959729592316589,0.642690336003775,0.8031443162189209
t3,0,3,preprocess,k,46,297,27,32,0.16055598703706944,6738.263671875,261393.625,2002.9207763671875,5251.99365234375,4993.66845703125,0.5452025584787088,0.08753553491168466,0.7027541702282701,0.8394283028811029
t3,0,3,preprocess,k,47,434,27,0,0.1743308849167168,7942.91943359375,261355.40625,4440.14208984375,3501.54052734375,3502.1591796875,0.7476672460636281,0.13034149262951694,0.44099368916363024,0.6640736136894263
t3,0,3,preprocess,k,47,434,27,1,0.1743308849167168,7942.91943359375,261355.40625,2995.455078125,4072.72119140625,4510.0927734375,0.6141031524107775,0.10705714598991625,0.6228773181991454,0.7929632431390793
t3,0,3,preprocess,k,47,434,27,2,0.1743308849167168,7942.91943359375,261355.40625,2993.5693359375,4085.781494140625,4517.56591796875,0.6139098224315729,0.10702344260356059,0.6231147299220346,0.7930066897979386
t3,0,3,preprocess,k,47,434,27,4,0.1743308849167168,7942.91943359375,261355.40625,2168.75537109375,5420.7119140625,5597.4384765625,0.522534783212536,0.09109395115720618,0.726957400333028,0.8530433200901412
t3,0,3,preprocess,k,47,434,27,8,0.1743308849167168,7942.91943359375,261355.40625,1828.990478515625,5976.6240234375,6045.27685546875,0.4798612086738153,0.08365462914531152,0.7697332204101051,0.8774010468287854
