base_method,example_id,sub_q_idx,doc_len,num_chunks,online_selected,base_selected,residual_size,residual_mapped,nonempty_chunks,nonempty_chunk_frac,top1_chunk_frac,top2_chunk_frac,top3_chunk_frac,entropy_norm,chunks_for_50pct,chunks_for_70pct,chunks_for_80pct,chunks_for_90pct,chunks_for_95pct
freq,178,0,1154,11,197,105,95,95,11,1.0,0.30526315789473685,0.47368421052631576,0.6,0.84954546314172,3,4,5,8,9
freq,100,0,1363,11,229,143,113,113,9,0.8181818181818182,0.45132743362831856,0.7168141592920354,0.7787610619469026,0.6699630858029358,2,2,4,6,8
freq,125,0,2186,13,354,310,149,149,8,0.6153846153846154,0.3624161073825503,0.5906040268456376,0.7986577181208053,0.6099223633926681,2,3,4,4,5
freq,1,0,1324,12,223,200,89,89,8,0.6666666666666666,0.3258426966292135,0.5617977528089888,0.6853932584269663,0.7144431070696967,2,4,4,6,6
freq,100,1,1414,15,233,302,74,74,7,0.4666666666666667,0.33783783783783783,0.6486486486486487,0.8243243243243243,0.5798689707576976,2,3,3,5,6
freq,50,2,1948,11,315,281,177,177,8,0.7272727272727273,0.6214689265536724,0.7740112994350282,0.8757062146892656,0.5173974241102498,1,2,3,4,5
freq,26,0,1564,12,260,257,84,84,10,0.8333333333333334,0.35714285714285715,0.6904761904761905,0.7738095238095238,0.665382226894057,2,3,4,5,6
freq,126,0,1344,11,227,119,119,119,9,0.8181818181818182,0.31092436974789917,0.5630252100840336,0.680672268907563,0.7489152773070157,2,4,5,6,6
freq,151,0,965,11,168,138,66,66,6,0.5454545454545454,0.42424242424242425,0.7272727272727273,0.9393939393939394,0.5368833571971257,2,2,3,3,4
freq,2,0,1466,12,241,239,79,79,8,0.6666666666666666,0.31645569620253167,0.4936708860759494,0.620253164556962,0.7609341869119969,3,4,5,7,7
freq,101,0,920,11,160,82,87,87,9,0.8181818181818182,0.3103448275862069,0.5632183908045977,0.7011494252873564,0.7482909467980066,2,3,4,5,7
freq,78,0,912,11,159,184,56,56,5,0.45454545454545453,0.48214285714285715,0.8928571428571429,0.9464285714285714,0.4440918442530922,2,2,2,3,4
freq,27,0,1367,11,230,144,119,119,9,0.8181818181818182,0.2857142857142857,0.5378151260504201,0.7647058823529411,0.7314994165014173,2,3,4,6,7
freq,151,1,1358,13,225,260,68,68,4,0.3076923076923077,0.39705882352941174,0.7794117647058824,0.9852941176470589,0.43735306774420346,2,2,3,3,3
freq,50,3,2856,15,451,445,277,277,10,0.6666666666666666,0.3285198555956679,0.6028880866425993,0.776173285198556,0.6278554452121486,2,3,4,5,6
freq,178,1,969,13,168,243,90,90,3,0.23076923076923078,0.5222222222222223,0.8222222222222222,1.0,0.3928035886614857,1,2,2,3,3
freq,78,1,1817,13,295,188,203,203,9,0.6923076923076923,0.3793103448275862,0.6206896551724138,0.7536945812807881,0.6604520124257247,2,3,4,5,6
freq,101,1,1614,13,275,257,142,142,7,0.5384615384615384,0.2746478873239437,0.5352112676056338,0.6901408450704225,0.6711292730411204,2,4,4,5,6
freq,3,0,1184,11,203,124,99,99,8,0.7272727272727273,0.37373737373737376,0.6767676767676768,0.8282828282828283,0.6427657553954765,2,3,3,4,5
freq,51,0,1099,11,191,106,94,94,9,0.8181818181818182,0.32978723404255317,0.5106382978723404,0.6702127659574468,0.7549714744101007,2,4,4,6,7
freq,179,0,1094,11,187,100,104,104,9,0.8181818181818182,0.36538461538461536,0.6346153846153846,0.7403846153846154,0.7032507889971475,2,3,4,5,6
freq,3,1,1384,13,233,240,98,98,7,0.5384615384615384,0.3163265306122449,0.5918367346938775,0.8061224489795918,0.5976616853049577,2,3,3,4,5
freq,152,0,1729,11,288,183,135,135,10,0.9090909090909091,0.2518518518518518,0.4962962962962963,0.6370370370370371,0.8361753602262572,3,4,6,7,9
freq,102,0,1287,11,216,154,100,100,5,0.45454545454545453,0.48,0.75,0.87,0.5257694801265098,2,2,3,4,4
freq,79,0,1295,11,221,173,87,87,6,0.5454545454545454,0.367816091954023,0.6091954022988506,0.8275862068965517,0.6139409975255444,2,3,3,4,4
freq,51,1,1568,15,264,259,103,103,12,0.8,0.33980582524271846,0.5436893203883495,0.6407766990291263,0.7272018918825659,2,4,5,7,8
freq,152,1,1754,13,288,322,112,112,11,0.8461538461538461,0.26785714285714285,0.5178571428571429,0.7232142857142857,0.7156223648588347,2,3,4,6,7
freq,27,1,1471,13,243,263,125,125,8,0.6153846153846154,0.232,0.448,0.616,0.6970421111796724,3,4,5,5,6
freq,102,1,1711,13,277,339,128,128,7,0.5384615384615384,0.375,0.6796875,0.8671875,0.5710212448918288,2,3,3,4,5
